Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,7,10,5,0,0,0,0,0
6 - 7,0,0,16,62,93,91,78,62,50,29,8,0
7 - 8,55,102,179,238,257,250,236,228,229,215,152,92
8 - 9,248,286,357,394,408,406,403,401,397,379,310,266
9 - 10,390,438,499,514,527,535,547,551,536,505,430,398
10 - 11,499,549,604,594,609,626,651,657,627,579,505,485
11 - 12,547,603,652,623,639,672,706,712,656,581,527,519
12 - 13,542,600,633,605,627,667,711,714,639,549,502,504
13 - 14,499,557,587,562,591,628,670,672,587,489,450,457
14 - 15,428,483,510,493,510,546,580,578,497,406,373,377
15 - 16,307,363,387,381,391,422,446,438,361,278,243,251
16 - 17,125,195,226,226,236,260,277,262,196,106,51,57
17 - 18,1,18,41,67,77,96,109,86,29,1,0,0
18 - 19,0,0,0,1,3,11,13,2,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
