Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,6,11,5,0,0,0,0,0
5 - 6,0,0,1,19,49,53,45,26,7,0,0,0
6 - 7,0,4,46,115,149,149,133,122,101,49,4,0
7 - 8,34,96,178,243,266,270,251,253,242,182,100,41
8 - 9,149,220,295,352,370,380,364,369,359,293,211,168
9 - 10,246,324,403,452,460,463,464,474,469,388,298,257
10 - 11,308,404,496,521,534,536,551,555,541,482,348,321
11 - 12,329,442,538,550,563,567,592,593,569,460,351,333
12 - 13,313,413,500,529,537,554,585,588,539,420,311,306
13 - 14,264,357,441,470,490,512,545,536,478,349,258,252
14 - 15,198,291,360,385,398,425,453,442,381,262,179,172
15 - 16,73,173,237,264,275,304,327,310,240,136,42,35
16 - 17,0,25,98,129,143,171,184,161,90,12,0,0
17 - 18,0,0,5,24,45,59,64,39,3,0,0,0
18 - 19,0,0,0,0,4,13,11,1,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
