Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,15,22,14,2,0,0,0,0
6 - 7,0,0,5,44,75,77,65,49,24,3,0,0
7 - 8,0,15,93,152,187,182,168,157,147,97,23,0
8 - 9,89,147,226,269,300,289,278,277,279,228,146,95
9 - 10,202,252,332,362,384,374,368,372,380,332,238,215
10 - 11,287,333,413,434,451,433,427,443,459,410,312,293
11 - 12,335,400,489,485,494,484,484,492,506,474,343,339
12 - 13,343,421,517,492,496,491,504,503,510,442,333,339
13 - 14,311,371,459,454,462,460,470,473,464,389,285,294
14 - 15,253,307,391,390,401,406,418,412,384,309,228,230
15 - 16,115,236,299,305,314,324,332,325,286,211,97,61
16 - 17,7,65,183,193,205,217,227,211,164,47,2,1
17 - 18,0,2,19,75,94,108,114,93,32,0,0,0
18 - 19,0,0,0,5,22,35,33,13,0,0,0,0
19 - 20,0,0,0,0,0,3,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
