Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,17,25,16,3,0,0,0,0
6 - 7,0,0,6,46,79,82,73,54,29,5,0,0
7 - 8,0,19,104,166,195,197,187,171,154,112,32,1
8 - 9,106,159,238,292,316,324,321,306,288,244,167,111
9 - 10,217,264,350,390,415,432,437,425,404,345,255,222
10 - 11,295,349,452,475,488,501,519,513,502,440,324,298
11 - 12,352,424,533,533,542,558,584,576,562,511,373,344
12 - 13,366,458,564,534,536,564,604,598,558,487,375,350
13 - 14,338,411,504,492,500,528,572,570,516,424,325,317
14 - 15,271,342,428,422,432,458,506,490,431,345,254,246
15 - 16,190,267,330,322,339,362,402,387,326,241,149,142
16 - 17,31,137,199,206,219,242,269,251,184,71,11,8
17 - 18,0,8,47,80,97,115,128,103,38,0,0,0
18 - 19,0,0,0,5,22,34,34,12,0,0,0,0
19 - 20,0,0,0,0,0,3,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
