Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,14,23,12,3,0,0,0,0
6 - 7,0,0,8,54,87,90,78,61,41,12,0,0
7 - 8,7,53,147,214,241,246,236,223,213,171,83,17
8 - 9,194,277,333,379,396,408,410,401,389,343,286,214
9 - 10,355,418,475,509,517,538,550,544,522,469,406,355
10 - 11,454,527,577,602,601,621,641,640,617,572,495,454
11 - 12,525,602,659,644,640,670,689,691,665,624,543,509
12 - 13,544,629,674,652,637,663,691,692,655,609,533,514
13 - 14,503,587,610,593,574,608,648,641,595,542,472,461
14 - 15,420,501,518,501,492,519,566,546,495,440,382,375
15 - 16,306,386,399,385,377,395,444,422,370,305,235,227
16 - 17,74,197,243,235,237,253,286,263,203,97,26,14
17 - 18,0,9,48,79,92,109,123,98,34,0,0,0
18 - 19,0,0,0,2,14,30,27,6,0,0,0,0
19 - 20,0,0,0,0,0,1,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
