Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,16,25,16,3,0,0,0,0
6 - 7,0,0,11,63,95,99,87,68,47,16,0,0
7 - 8,29,64,150,219,249,248,233,218,205,174,95,32
8 - 9,224,268,325,381,404,405,393,382,371,339,276,222
9 - 10,378,417,466,508,530,534,528,520,503,459,402,359
10 - 11,485,524,569,603,616,621,617,617,592,548,489,457
11 - 12,549,595,640,650,660,664,667,669,635,596,536,512
12 - 13,556,616,652,640,655,666,671,672,632,582,525,509
13 - 14,508,566,582,586,599,621,633,627,568,517,456,451
14 - 15,407,473,491,499,509,534,551,537,464,404,352,352
15 - 16,275,345,365,371,379,408,426,405,331,263,190,190
16 - 17,56,160,207,216,227,255,270,243,170,73,10,10
17 - 18,0,4,35,67,85,107,115,87,23,0,0,0
18 - 19,0,0,0,2,12,27,24,5,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
