Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,9,17,9,1,0,0,0,0
6 - 7,0,0,6,48,79,84,73,54,30,10,0,0
7 - 8,10,48,137,205,231,234,214,203,194,162,82,19
8 - 9,207,269,326,376,395,402,379,376,372,342,291,225
9 - 10,397,436,482,522,533,541,524,521,518,479,425,394
10 - 11,520,567,604,631,629,637,624,629,621,579,525,502
11 - 12,591,647,690,693,686,694,687,687,680,631,583,564
12 - 13,606,670,706,705,691,700,701,699,683,627,574,572
13 - 14,563,625,645,659,648,662,667,665,632,560,508,518
14 - 15,466,533,546,563,558,577,585,578,528,449,407,413
15 - 16,328,399,419,434,430,450,460,450,389,304,261,269
16 - 17,81,200,253,264,267,290,301,284,220,97,49,42
17 - 18,0,10,51,89,105,126,136,110,38,0,0,0
18 - 19,0,0,0,3,15,31,31,8,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
