Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,10,16,9,1,0,0,0,0
6 - 7,0,0,1,29,58,60,52,34,15,0,0,0
7 - 8,0,6,66,135,160,153,139,131,123,72,13,0
8 - 9,61,129,212,264,281,261,249,254,260,219,140,65
9 - 10,215,261,336,370,378,351,348,355,374,335,250,228
10 - 11,318,373,440,456,446,414,413,435,470,431,344,330
11 - 12,391,456,518,512,484,461,467,492,529,506,388,391
12 - 13,408,486,545,511,487,463,479,500,524,472,377,397
13 - 14,374,442,493,471,441,433,448,459,473,412,332,351
14 - 15,298,372,416,399,389,383,397,398,391,328,257,279
15 - 16,216,286,327,315,305,302,314,315,298,235,169,168
16 - 17,61,157,207,207,200,208,218,209,181,93,24,14
17 - 18,0,12,68,92,100,110,115,100,54,1,0,0
18 - 19,0,0,1,13,31,39,39,21,1,0,0,0
19 - 20,0,0,0,0,2,7,5,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
