Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,9,15,7,1,0,0,0,0
6 - 7,0,0,1,36,65,66,53,41,21,1,0,0
7 - 8,0,22,101,177,208,215,206,197,184,132,33,0
8 - 9,146,215,291,339,362,380,387,386,365,312,228,157
9 - 10,303,373,432,463,475,511,535,538,505,442,354,313
10 - 11,407,486,545,551,548,593,630,636,603,536,440,420
11 - 12,475,564,627,607,592,642,684,687,652,603,493,476
12 - 13,481,588,643,617,592,641,684,680,641,582,480,473
13 - 14,444,546,583,572,551,598,643,635,587,517,428,427
14 - 15,370,472,509,499,482,532,571,556,494,429,344,344
15 - 16,285,373,408,396,384,425,467,447,379,315,240,240
16 - 17,95,214,269,258,255,291,324,302,234,135,48,45
17 - 18,0,20,87,108,117,142,159,137,66,3,0,0
18 - 19,0,0,0,10,25,38,36,19,0,0,0,0
19 - 20,0,0,0,0,0,3,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
