Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,30,78,41,0,0,0,0,0
6 - 7,0,0,0,144,296,375,375,205,67,8,0,0
7 - 8,0,32,217,387,442,511,554,493,389,234,69,0
8 - 9,212,316,425,469,525,600,654,608,508,421,340,209
9 - 10,364,434,500,523,567,665,734,691,579,489,431,354
10 - 11,424,493,558,557,604,698,785,748,635,546,493,416
11 - 12,473,547,603,570,619,726,814,779,669,586,523,450
12 - 13,487,563,612,554,622,726,827,790,670,571,519,459
13 - 14,476,546,574,529,596,716,821,775,650,533,493,450
14 - 15,451,515,534,505,558,693,797,745,612,493,455,419
15 - 16,411,480,503,474,519,645,747,692,569,444,405,366
16 - 17,226,394,440,428,467,579,678,615,484,323,127,102
17 - 18,0,95,259,348,388,490,586,502,278,40,0,0
18 - 19,0,0,9,84,215,354,408,205,13,0,0,0
19 - 20,0,0,0,0,4,55,52,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
