Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,3,0,0,0,0,0,0
5 - 6,0,0,0,4,27,36,27,10,1,0,0,0
6 - 7,0,0,20,81,113,118,105,86,65,24,1,0
7 - 8,32,77,175,230,254,261,247,224,209,180,106,35
8 - 9,231,282,343,377,395,401,394,366,348,322,284,234
9 - 10,375,423,475,494,508,514,510,483,454,424,391,372
10 - 11,477,528,576,576,583,590,594,569,524,493,468,460
11 - 12,538,588,640,626,638,635,639,622,572,532,504,498
12 - 13,532,599,650,622,636,634,648,627,568,513,484,487
13 - 14,478,545,582,568,576,586,607,578,518,452,413,424
14 - 15,375,446,478,472,483,498,518,487,422,344,311,314
15 - 16,207,311,342,342,349,369,389,358,285,207,151,140
16 - 17,10,97,175,187,200,220,234,203,130,32,1,0
17 - 18,0,0,18,48,69,87,92,65,11,0,0,0
18 - 19,0,0,0,1,9,24,21,3,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
