Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,15,21,13,2,0,0,0,0
6 - 7,0,0,2,42,77,80,69,52,26,2,0,0
7 - 8,0,6,103,174,210,219,214,200,180,114,23,0
8 - 9,103,172,263,310,349,368,380,370,345,272,172,110
9 - 10,220,287,381,418,451,489,517,511,472,379,265,229
10 - 11,298,377,481,506,536,572,606,610,567,472,341,313
11 - 12,351,453,569,559,589,629,666,672,623,550,388,362
12 - 13,365,484,599,564,596,630,675,681,619,523,381,369
13 - 14,343,443,554,529,559,588,640,640,567,469,342,337
14 - 15,287,386,479,459,488,520,562,556,481,385,278,274
15 - 16,219,311,377,366,385,416,452,443,371,279,178,173
16 - 17,60,171,235,238,253,281,309,291,219,110,17,14
17 - 18,0,12,61,96,115,134,149,128,50,3,0,0
18 - 19,0,0,0,8,26,38,36,15,0,0,0,0
19 - 20,0,0,0,0,0,3,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
