Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,5,10,4,0,0,0,0,0
6 - 7,0,0,2,26,56,59,45,31,14,1,0,0
7 - 8,0,13,89,167,197,199,184,174,161,108,30,0
8 - 9,126,195,281,338,364,370,367,362,343,295,222,132
9 - 10,294,368,429,469,494,508,518,517,490,425,360,294
10 - 11,409,496,546,570,579,600,620,623,597,532,460,399
11 - 12,482,581,629,627,630,656,683,687,661,598,517,458
12 - 13,508,612,659,636,628,667,703,710,666,586,519,473
13 - 14,482,576,619,597,593,639,679,679,618,529,471,437
14 - 15,416,500,540,516,525,573,609,604,539,448,392,366
15 - 16,323,402,429,420,421,464,501,487,422,332,276,264
16 - 17,116,250,285,284,286,320,352,334,263,164,64,57
17 - 18,0,33,101,125,137,160,178,158,83,11,0,0
18 - 19,0,0,1,13,31,45,43,24,1,0,0,0
19 - 20,0,0,0,0,1,5,3,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
