Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,32,63,29,0,0,0,0,0
6 - 7,0,0,5,116,266,310,275,168,64,10,0,0
7 - 8,9,54,205,353,407,446,432,385,334,235,99,15
8 - 9,259,337,405,456,507,538,538,497,447,393,356,271
9 - 10,415,455,492,525,582,617,625,592,525,465,446,418
10 - 11,483,521,554,587,639,672,696,669,597,535,504,488
11 - 12,523,564,606,632,675,717,749,716,646,587,544,515
12 - 13,539,581,629,649,686,735,770,740,663,580,545,520
13 - 14,523,563,609,637,682,733,770,737,654,553,515,496
14 - 15,486,534,576,612,658,715,746,708,612,512,476,460
15 - 16,433,484,525,577,602,665,692,646,555,450,406,398
16 - 17,252,389,442,492,519,585,609,553,454,306,168,155
17 - 18,5,96,273,349,407,469,491,418,236,32,0,0
18 - 19,0,0,18,69,192,290,299,141,8,0,0,0
19 - 20,0,0,0,0,3,23,24,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
