Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,12,18,11,2,0,0,0,0
6 - 7,0,0,3,34,64,65,57,41,20,2,0,0
7 - 8,0,13,83,145,173,168,157,146,138,92,16,0
8 - 9,66,139,221,269,287,274,271,271,274,225,144,46
9 - 10,204,254,337,364,378,364,360,372,379,338,246,217
10 - 11,293,348,434,442,442,421,414,439,460,422,327,307
11 - 12,352,423,512,499,487,464,456,477,510,485,362,363
12 - 13,361,446,537,513,490,465,459,476,506,459,354,360
13 - 14,330,391,471,468,441,423,417,429,454,397,306,315
14 - 15,262,325,395,390,381,371,369,364,374,313,239,203
15 - 16,122,250,310,307,296,294,295,286,279,217,131,26
16 - 17,9,128,191,197,195,203,202,191,163,79,3,2
17 - 18,0,2,49,77,93,104,104,90,40,1,0,0
18 - 19,0,0,0,6,24,34,34,15,0,0,0,0
19 - 20,0,0,0,0,1,3,3,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
