Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,4,0,0,0,0,0,0
5 - 6,0,0,0,19,118,164,112,34,1,0,0,0
6 - 7,0,0,66,241,304,327,302,240,157,58,0,0
7 - 8,38,149,321,400,403,426,406,365,337,298,150,59
8 - 9,339,409,439,482,484,507,490,436,426,404,392,342
9 - 10,473,496,508,537,540,580,572,495,475,459,462,449
10 - 11,534,556,556,580,581,628,630,563,529,507,509,507
11 - 12,566,594,602,600,606,648,656,599,566,534,534,537
12 - 13,564,604,612,588,601,648,661,605,569,528,525,529
13 - 14,537,576,570,549,563,621,639,593,526,486,486,500
14 - 15,487,531,519,501,518,573,601,536,456,428,432,442
15 - 16,393,464,456,443,454,506,526,456,384,351,284,289
16 - 17,75,255,367,362,377,420,434,365,287,134,16,14
17 - 18,0,1,95,209,287,318,325,251,62,0,0,0
18 - 19,0,0,0,5,64,154,144,35,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
