Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,4,8,3,0,0,0,0,0
6 - 7,0,0,2,29,58,65,53,33,17,4,0,0
7 - 8,4,25,85,153,186,195,175,154,137,103,49,9
8 - 9,136,178,238,301,333,351,331,306,286,244,204,142
9 - 10,288,314,368,427,455,490,471,448,417,356,324,268
10 - 11,393,425,474,521,554,598,583,561,521,451,418,363
11 - 12,470,507,565,592,620,667,659,640,587,531,466,428
12 - 13,493,546,599,618,639,687,691,673,618,531,471,440
13 - 14,470,518,562,592,612,665,671,652,586,498,436,410
14 - 15,399,459,501,531,550,599,606,585,509,419,364,344
15 - 16,305,364,404,431,442,484,494,471,397,306,253,244
16 - 17,131,221,261,285,294,332,343,315,241,146,71,68
17 - 18,1,34,86,120,135,163,171,143,71,8,0,0
18 - 19,0,0,1,10,27,44,44,22,1,0,0,0
19 - 20,0,0,0,0,0,2,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
