Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,67,141,100,11,0,0,0,0
6 - 7,0,0,27,169,332,403,438,310,126,12,0,0
7 - 8,6,82,311,410,441,532,587,529,447,295,130,18
8 - 9,250,382,465,488,513,616,683,638,555,449,374,261
9 - 10,373,464,531,530,559,664,748,715,618,518,429,367
10 - 11,418,517,582,565,580,697,787,757,657,581,481,413
11 - 12,458,565,616,588,587,705,806,775,677,612,512,452
12 - 13,479,586,621,590,575,687,801,775,666,594,515,461
13 - 14,480,564,584,561,552,656,776,751,629,556,491,458
14 - 15,457,532,545,529,525,622,742,704,582,505,455,438
15 - 16,415,486,502,489,483,574,689,644,526,452,396,383
16 - 17,178,366,426,427,426,513,620,563,450,275,111,97
17 - 18,0,48,180,309,348,424,520,439,196,13,0,0
18 - 19,0,0,0,35,134,250,313,114,1,0,0,0
19 - 20,0,0,0,0,0,11,16,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
