Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,6,11,5,0,0,0,0,0
6 - 7,0,0,1,30,65,68,57,40,21,2,0,0
7 - 8,2,24,103,170,201,209,198,187,169,127,45,9
8 - 9,153,217,284,332,357,374,372,367,340,306,249,176
9 - 10,321,371,431,464,487,510,520,519,481,438,382,330
10 - 11,437,488,556,564,580,606,622,624,594,549,485,430
11 - 12,510,578,640,627,638,667,678,688,658,612,541,496
12 - 13,528,612,666,636,643,675,692,703,666,603,539,508
13 - 14,500,570,610,596,600,640,664,669,622,545,484,466
14 - 15,423,490,527,520,526,567,591,590,533,448,394,385
15 - 16,313,380,419,415,417,453,481,470,402,320,272,269
16 - 17,108,217,263,265,273,307,330,313,241,141,60,56
17 - 18,0,21,73,105,121,145,160,136,60,3,0,0
18 - 19,0,0,0,6,22,37,37,16,0,0,0,0
19 - 20,0,0,0,0,0,2,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
