Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,14,22,11,1,0,0,0,0
6 - 7,0,0,8,51,84,87,74,58,33,10,0,0
7 - 8,6,46,141,208,236,244,239,228,213,166,74,14
8 - 9,184,260,328,376,393,412,418,413,394,342,274,205
9 - 10,348,405,467,494,515,541,558,557,534,470,392,349
10 - 11,454,514,571,581,593,626,651,653,631,566,480,445
11 - 12,511,589,651,629,628,670,705,708,675,621,530,499
12 - 13,521,608,667,635,633,674,710,712,675,602,521,502
13 - 14,486,563,614,589,578,625,669,667,615,535,458,458
14 - 15,407,490,520,507,504,535,587,580,518,438,369,372
15 - 16,300,378,405,395,390,418,462,453,390,310,237,222
16 - 17,72,200,250,251,247,272,307,289,224,101,27,14
17 - 18,0,9,51,91,101,120,136,112,39,0,0,0
18 - 19,0,0,0,4,18,32,31,8,0,0,0,0
19 - 20,0,0,0,0,0,1,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
