Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,1,3,1,0,0,0,0,0
5 - 6,0,0,0,7,29,39,30,12,1,0,0,0
6 - 7,0,0,12,79,123,127,115,93,52,10,0,0
7 - 8,4,17,165,242,268,277,269,250,228,164,60,4
8 - 9,196,287,353,389,405,422,421,407,380,335,289,203
9 - 10,372,431,484,493,506,528,539,526,494,446,399,374
10 - 11,466,539,572,566,568,586,601,600,563,521,478,462
11 - 12,520,593,626,590,587,599,614,617,588,555,507,503
12 - 13,514,590,622,563,555,569,586,587,555,515,479,487
13 - 14,453,518,548,496,492,510,526,519,477,432,407,419
14 - 15,350,413,444,411,411,428,443,431,371,326,296,304
15 - 16,197,284,316,301,306,318,330,311,256,191,127,105
16 - 17,14,83,155,167,177,191,202,178,120,28,1,0
17 - 18,0,0,12,42,63,76,79,57,10,0,0,0
18 - 19,0,0,0,0,8,21,17,3,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
