Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,7,12,7,0,0,0,0,0
6 - 7,0,0,1,36,70,73,60,44,27,5,0,0
7 - 8,2,36,126,193,221,227,209,201,192,154,60,2
8 - 9,198,259,325,365,383,398,385,383,374,348,293,212
9 - 10,375,422,475,500,515,537,533,532,519,487,428,385
10 - 11,493,539,591,594,603,630,629,633,615,585,526,494
11 - 12,563,619,664,646,651,680,683,690,661,641,578,557
12 - 13,579,644,676,642,639,683,694,697,655,618,566,563
13 - 14,546,591,618,593,587,637,662,659,600,555,501,512
14 - 15,455,501,514,501,504,557,583,577,507,451,399,413
15 - 16,337,384,403,390,397,439,466,456,386,320,274,282
16 - 17,118,216,254,250,255,290,313,298,228,131,58,59
17 - 18,0,20,68,95,108,130,144,122,52,3,0,0
18 - 19,0,0,0,5,19,32,32,12,0,0,0,0
19 - 20,0,0,0,0,0,1,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
