Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,13,20,10,1,0,0,0,0
6 - 7,0,0,6,46,78,80,68,53,34,8,0,0
7 - 8,2,30,133,198,230,236,228,218,202,156,47,3
8 - 9,167,246,322,361,390,400,408,403,386,330,259,177
9 - 10,332,397,466,482,509,531,552,550,528,457,384,342
10 - 11,435,508,567,573,580,612,643,646,621,553,476,436
11 - 12,498,585,636,627,623,657,698,703,669,609,519,491
12 - 13,508,612,657,629,622,653,700,709,663,589,510,492
13 - 14,470,567,599,577,564,607,660,666,609,529,453,444
14 - 15,394,480,512,501,489,530,579,575,514,435,359,360
15 - 16,293,373,400,395,383,419,464,451,387,312,229,227
16 - 17,90,197,254,253,247,278,309,292,227,103,25,23
17 - 18,0,9,66,95,104,125,141,121,50,0,0,0
18 - 19,0,0,0,5,22,34,32,13,0,0,0,0
19 - 20,0,0,0,0,0,2,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
