Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,16,24,15,3,0,0,0,0
6 - 7,0,0,3,47,75,79,69,52,27,2,0,0
7 - 8,0,7,91,154,183,181,169,159,150,82,7,0
8 - 9,51,138,227,275,289,283,275,275,283,234,137,52
9 - 10,211,258,337,362,374,365,359,362,381,332,242,217
10 - 11,290,341,421,433,430,417,413,428,455,412,310,297
11 - 12,337,404,490,473,467,455,456,479,502,469,343,338
12 - 13,340,425,507,474,472,458,468,484,502,435,335,337
13 - 14,303,373,447,434,439,430,437,448,455,372,284,289
14 - 15,241,304,376,370,379,382,389,385,377,299,218,222
15 - 16,160,229,287,288,296,297,309,302,274,205,123,110
16 - 17,21,98,170,180,189,198,209,192,152,55,2,1
17 - 18,0,1,36,69,85,97,102,82,29,0,0,0
18 - 19,0,0,0,4,20,31,31,12,0,0,0,0
19 - 20,0,0,0,0,0,2,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
