Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,3,7,3,0,0,0,0,0
6 - 7,0,0,1,20,51,55,43,25,11,1,0,0
7 - 8,0,12,82,156,188,188,174,160,144,100,33,0
8 - 9,133,187,271,325,350,355,350,342,321,287,233,149
9 - 10,309,363,431,465,489,499,502,499,466,430,382,324
10 - 11,433,495,548,574,588,599,612,615,582,544,490,440
11 - 12,515,586,640,640,652,668,685,689,654,613,559,504
12 - 13,537,617,668,661,672,691,712,714,679,610,555,517
13 - 14,509,582,636,633,643,668,690,693,651,564,507,478
14 - 15,436,514,562,563,581,603,624,621,572,471,424,401
15 - 16,336,412,447,459,466,493,516,503,451,347,301,289
16 - 17,155,262,297,309,316,346,367,348,282,176,76,72
17 - 18,4,50,114,138,151,177,189,167,92,13,0,0
18 - 19,0,0,2,15,33,48,47,27,1,0,0,0
19 - 20,0,0,0,0,0,4,3,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
