Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,21,29,20,4,0,0,0,0
6 - 7,0,0,9,65,96,101,86,69,44,11,0,0
7 - 8,5,50,154,220,245,251,242,226,213,165,71,11
8 - 9,179,277,348,383,399,403,408,395,383,330,268,188
9 - 10,344,437,495,510,520,526,540,534,517,449,387,336
10 - 11,450,549,598,595,594,601,625,627,609,543,472,429
11 - 12,507,623,670,640,627,644,675,679,661,595,515,476
12 - 13,515,641,679,637,628,643,679,686,658,585,507,473
13 - 14,470,586,612,583,578,596,636,638,597,516,450,422
14 - 15,385,488,519,491,487,508,553,544,495,417,353,328
15 - 16,248,360,391,376,368,385,429,408,356,277,188,174
16 - 17,26,150,226,224,225,239,272,248,187,79,8,4
17 - 18,0,1,38,72,87,100,114,89,27,0,0,0
18 - 19,0,0,0,3,16,29,27,6,0,0,0,0
19 - 20,0,0,0,0,0,1,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
