Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,8,14,7,1,0,0,0,0
6 - 7,0,0,3,36,69,72,60,44,26,4,0,0
7 - 8,6,34,122,189,213,220,208,198,189,149,60,7
8 - 9,184,250,316,354,376,387,386,381,368,340,282,195
9 - 10,364,410,466,490,501,529,530,530,506,472,419,367
10 - 11,481,528,579,586,585,624,626,632,603,573,521,472
11 - 12,551,607,656,639,632,679,681,691,655,632,566,535
12 - 13,562,635,670,649,637,687,697,702,662,619,555,536
13 - 14,518,585,617,603,596,645,662,664,612,555,490,485
14 - 15,432,501,529,517,518,561,585,581,517,452,397,395
15 - 16,320,389,410,405,402,440,468,459,390,320,270,269
16 - 17,65,215,253,255,259,289,315,299,229,132,11,8
17 - 18,0,20,67,97,109,129,144,123,53,3,0,0
18 - 19,0,0,0,5,19,33,32,13,0,0,0,0
19 - 20,0,0,0,0,0,1,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
