Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,16,23,15,3,0,0,0,0
6 - 7,0,0,6,49,82,87,72,57,33,6,0,0
7 - 8,0,41,124,186,217,226,215,203,185,141,48,0
8 - 9,147,217,293,330,350,367,373,364,342,297,223,114
9 - 10,294,345,421,433,451,478,506,496,458,405,332,303
10 - 11,394,447,514,506,509,550,595,587,546,491,408,395
11 - 12,450,512,582,550,546,587,646,637,594,553,447,444
12 - 13,457,524,595,545,540,583,641,634,582,522,430,437
13 - 14,418,471,537,491,489,536,591,581,522,462,370,387
14 - 15,337,397,452,422,421,468,512,498,439,373,289,306
15 - 16,235,304,355,335,329,369,409,389,333,263,176,180
16 - 17,43,149,218,212,214,240,268,249,191,77,14,12
17 - 18,0,4,47,79,91,109,121,101,39,0,0,0
18 - 19,0,0,0,5,19,31,30,10,0,0,0,0
19 - 20,0,0,0,0,0,2,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
