Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,10,16,8,1,0,0,0,0
6 - 7,0,0,1,31,64,66,54,38,18,0,0,0
7 - 8,0,2,90,172,204,211,200,184,166,98,21,0
8 - 9,100,189,281,334,358,376,379,367,346,274,198,102
9 - 10,269,353,425,456,478,508,527,518,488,393,329,269
10 - 11,369,469,534,555,561,594,624,624,584,488,416,363
11 - 12,432,563,623,614,624,647,680,684,642,567,463,418
12 - 13,454,588,650,617,632,649,691,702,651,544,464,433
13 - 14,432,548,606,581,587,620,658,663,605,497,417,400
14 - 15,363,479,524,511,519,554,582,583,511,422,348,334
15 - 16,271,382,415,413,410,448,471,462,398,308,234,214
16 - 17,86,221,272,274,272,309,333,314,246,129,42,22
17 - 18,0,20,89,119,128,153,171,146,74,2,0,0
18 - 19,0,0,0,12,33,44,44,23,1,0,0,0
19 - 20,0,0,0,0,2,7,5,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
