Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,2,0,0,0,0,0,0
5 - 6,0,0,0,3,25,34,25,7,0,0,0,0
6 - 7,0,0,19,76,111,116,102,84,63,21,0,0
7 - 8,11,62,173,230,259,266,257,240,225,179,84,19
8 - 9,170,267,351,381,404,414,414,403,383,326,234,178
9 - 10,282,397,493,499,519,534,541,533,512,439,320,271
10 - 11,365,499,594,589,598,609,625,622,602,533,404,344
11 - 12,421,570,660,636,637,646,671,670,648,580,458,392
12 - 13,445,599,671,624,622,640,672,668,629,560,453,399
13 - 14,417,553,598,566,560,584,627,618,570,488,404,354
14 - 15,343,465,499,472,469,493,534,521,468,384,313,276
15 - 16,212,339,367,348,345,371,404,386,330,244,160,138
16 - 17,19,114,199,200,207,227,250,225,163,48,3,1
17 - 18,0,0,27,57,75,92,100,74,19,0,0,0
18 - 19,0,0,0,1,11,25,22,4,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
