Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,7,13,6,0,0,0,0,0
6 - 7,0,0,1,24,54,59,48,29,9,0,0,0
7 - 8,0,3,58,126,157,156,142,132,112,63,9,0
8 - 9,41,113,201,251,276,275,263,263,249,197,121,51
9 - 10,180,235,316,351,381,390,378,388,363,298,222,190
10 - 11,264,333,425,443,464,474,477,493,479,396,301,277
11 - 12,324,416,515,506,525,542,556,573,550,491,347,324
12 - 13,343,451,546,528,532,565,593,607,565,469,349,330
13 - 14,328,417,497,501,504,539,576,586,533,419,318,304
14 - 15,278,369,437,440,455,501,531,527,465,347,260,255
15 - 16,214,299,355,357,371,408,446,436,367,264,185,179
16 - 17,83,184,242,247,262,291,321,307,233,130,43,28
17 - 18,0,28,92,118,134,159,178,156,78,7,0,0
18 - 19,0,0,3,19,39,53,56,34,1,0,0,0
19 - 20,0,0,0,0,3,10,8,1,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
