Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,11,16,8,1,0,0,0,0
6 - 7,0,0,5,42,70,72,60,47,26,1,0,0
7 - 8,0,29,127,190,221,226,214,204,192,140,7,0
8 - 9,119,235,314,350,379,390,393,387,372,321,255,123
9 - 10,330,386,464,474,502,525,538,537,512,444,381,332
10 - 11,431,498,562,564,583,607,633,637,609,545,472,431
11 - 12,497,580,631,624,628,655,692,694,665,606,518,485
12 - 13,510,605,650,626,621,656,698,701,662,590,509,486
13 - 14,471,557,598,585,570,610,658,658,605,527,453,442
14 - 15,396,471,509,496,492,531,579,570,508,433,359,359
15 - 16,179,366,396,388,378,417,460,443,381,304,97,27
16 - 17,11,90,249,245,242,273,304,285,221,66,4,3
17 - 18,0,2,19,91,101,120,136,116,38,0,0,0
18 - 19,0,0,0,4,18,31,29,11,0,0,0,0
19 - 20,0,0,0,0,0,2,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
