Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,6,9,5,0,0,0,0,0
6 - 7,0,0,1,31,64,68,57,39,20,2,0,0
7 - 8,4,32,105,177,208,211,192,175,167,124,61,11
8 - 9,168,226,287,343,369,377,360,345,336,300,256,185
9 - 10,350,383,434,483,502,516,507,497,483,440,386,343
10 - 11,469,509,549,580,594,613,612,612,589,543,493,445
11 - 12,548,596,631,633,650,673,678,682,654,610,549,510
12 - 13,575,625,664,644,653,689,698,702,666,600,544,522
13 - 14,536,579,609,602,613,655,670,671,620,542,492,481
14 - 15,449,499,527,521,535,581,595,593,534,451,401,394
15 - 16,207,385,417,413,423,464,479,470,405,268,115,109
16 - 17,20,44,180,268,276,311,325,307,170,37,12,10
17 - 18,0,6,25,46,104,136,145,87,23,1,0,0
18 - 19,0,0,0,5,20,33,33,12,0,0,0,0
19 - 20,0,0,0,0,0,1,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
