Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,2,0,0,0,0,0,0
5 - 6,0,0,0,4,29,37,28,10,1,0,0,0
6 - 7,0,0,23,90,126,132,118,98,74,31,1,0
7 - 8,37,92,189,253,282,289,277,260,238,206,115,41
8 - 9,234,278,362,415,432,435,433,418,390,359,278,240
9 - 10,363,404,494,532,547,554,554,544,503,467,382,364
10 - 11,457,502,586,613,623,633,634,623,575,538,453,446
11 - 12,507,555,646,658,653,669,676,658,598,568,486,479
12 - 13,497,561,651,647,644,662,674,655,578,538,462,464
13 - 14,445,510,587,579,587,612,624,603,511,460,392,395
14 - 15,350,415,480,483,498,521,533,500,413,349,290,295
15 - 16,204,289,348,353,369,389,404,371,287,210,136,137
16 - 17,18,92,170,194,211,233,246,215,132,35,2,1
17 - 18,0,0,14,43,69,89,95,65,9,0,0,0
18 - 19,0,0,0,0,7,17,16,2,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
