Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,7,12,7,0,0,0,0,0
6 - 7,0,0,4,41,70,75,64,45,27,7,0,0
7 - 8,12,42,108,175,196,199,180,167,159,133,73,23
8 - 9,174,215,267,326,337,341,324,313,303,292,243,200
9 - 10,335,358,399,452,464,468,456,447,431,422,378,342
10 - 11,449,474,515,551,560,568,557,554,533,527,482,451
11 - 12,521,562,606,625,623,636,625,625,609,590,539,511
12 - 13,541,595,642,638,635,644,645,648,617,583,534,521
13 - 14,514,562,594,597,592,613,614,615,573,527,480,474
14 - 15,434,491,512,516,513,540,541,533,484,424,382,385
15 - 16,313,374,393,403,396,423,427,412,357,291,251,257
16 - 17,102,200,238,251,251,276,282,261,201,112,51,52
17 - 18,0,18,60,91,104,126,133,106,43,2,0,0
18 - 19,0,0,0,4,14,33,32,11,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
