Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,14,22,14,3,0,0,0,0
6 - 7,0,0,8,58,90,93,81,62,39,11,0,0
7 - 8,18,50,143,212,239,241,226,207,195,162,84,32
8 - 9,220,263,326,376,394,396,387,368,360,330,286,232
9 - 10,389,416,468,505,518,524,521,501,493,465,417,372
10 - 11,497,533,578,599,601,611,608,597,580,551,517,475
11 - 12,567,606,648,644,646,657,661,655,627,605,563,537
12 - 13,580,629,644,639,636,653,667,659,615,587,551,536
13 - 14,527,578,591,576,574,610,630,617,559,514,480,477
14 - 15,430,486,495,485,487,529,549,530,465,413,373,373
15 - 16,296,362,374,371,373,409,428,405,338,275,221,211
16 - 17,68,175,219,222,229,258,276,249,180,83,23,13
17 - 18,0,7,40,71,88,109,119,92,27,0,0,0
18 - 19,0,0,0,2,12,29,25,6,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
