Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,17,25,17,4,0,0,0,0
6 - 7,0,0,5,52,85,89,79,61,38,6,0,0
7 - 8,0,28,113,180,209,220,216,197,179,124,9,0
8 - 9,58,190,267,316,338,359,362,346,328,265,188,22
9 - 10,231,303,384,420,439,469,490,469,434,370,278,230
10 - 11,311,399,479,500,512,538,568,561,524,452,356,306
11 - 12,369,467,558,548,555,589,627,626,575,518,397,359
12 - 13,380,492,570,547,552,595,637,632,577,501,389,363
13 - 14,344,440,513,507,513,551,602,592,528,439,335,325
14 - 15,280,361,428,423,447,481,524,506,443,348,257,249
15 - 16,188,269,328,324,341,372,411,394,326,235,134,99
16 - 17,6,119,193,202,213,240,270,249,178,66,2,1
17 - 18,0,1,42,72,90,109,121,97,32,0,0,0
18 - 19,0,0,0,3,18,30,29,9,0,0,0,0
19 - 20,0,0,0,0,0,2,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
