Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,5,10,5,0,0,0,0,0
5 - 6,0,0,1,20,51,56,45,27,6,0,0,0
6 - 7,0,2,52,128,163,165,147,134,111,50,2,0
7 - 8,30,109,203,264,296,297,286,280,255,184,108,46
8 - 9,166,239,329,383,408,419,420,419,386,287,200,166
9 - 10,253,347,443,479,499,515,525,536,504,399,286,248
10 - 11,322,443,527,539,555,581,608,620,580,499,352,311
11 - 12,357,488,557,555,566,598,636,651,595,487,373,340
12 - 13,355,455,513,519,534,575,619,626,555,440,340,331
13 - 14,303,397,449,458,477,527,570,564,482,367,285,280
14 - 15,238,325,367,374,390,437,478,468,383,273,205,195
15 - 16,94,202,250,259,274,316,349,330,247,143,48,41
16 - 17,0,30,101,125,144,174,194,168,87,13,0,0
17 - 18,0,0,2,20,42,56,59,36,2,0,0,0
18 - 19,0,0,0,0,3,9,8,1,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
