Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,12,19,9,1,0,0,0,0
6 - 7,0,0,2,40,72,74,62,45,23,4,0,0
7 - 8,0,19,102,182,216,220,213,200,183,124,26,0
8 - 9,116,201,294,342,370,381,392,382,365,292,201,120
9 - 10,253,345,439,459,489,508,533,530,504,409,318,249
10 - 11,340,459,550,546,569,587,627,635,606,505,411,340
11 - 12,395,538,632,597,619,639,685,694,668,570,458,397
12 - 13,408,562,651,617,627,650,696,704,665,552,455,407
13 - 14,384,520,601,579,588,620,659,669,615,500,411,376
14 - 15,333,453,522,500,512,550,585,586,528,421,339,314
15 - 16,258,363,418,402,408,437,471,469,406,305,229,199
16 - 17,78,204,268,266,271,298,324,310,244,128,39,19
17 - 18,0,17,74,110,123,146,160,139,60,3,0,0
18 - 19,0,0,0,10,28,41,40,21,0,0,0,0
19 - 20,0,0,0,0,1,5,3,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
