Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,4,9,4,0,0,0,0,0
5 - 6,0,0,0,18,47,52,41,24,7,0,0,0
6 - 7,0,1,53,124,158,162,146,133,113,58,5,0
7 - 8,46,118,204,268,292,301,291,285,269,199,120,50
8 - 9,191,260,337,382,401,419,417,422,398,309,240,194
9 - 10,287,372,442,473,478,498,511,531,506,410,332,283
10 - 11,355,461,525,531,533,560,581,606,569,503,385,339
11 - 12,385,488,553,541,555,586,618,635,591,476,388,362
12 - 13,361,452,511,513,532,568,615,617,561,431,355,341
13 - 14,305,389,451,457,488,527,574,569,494,364,295,287
14 - 15,243,322,375,382,405,446,486,478,399,277,212,202
15 - 16,100,206,257,275,289,323,358,339,258,147,59,37
16 - 17,0,32,108,134,153,180,201,178,93,14,0,0
17 - 18,0,0,2,23,45,59,63,39,2,0,0,0
18 - 19,0,0,0,0,4,10,9,1,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
