Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,7,12,6,0,0,0,0,0
6 - 7,0,0,1,29,60,62,49,36,18,0,0,0
7 - 8,0,18,93,168,202,204,197,185,168,110,24,0
8 - 9,91,199,281,332,359,370,381,374,352,294,206,118
9 - 10,266,354,425,459,482,509,532,526,496,423,328,267
10 - 11,362,472,534,561,573,600,633,637,601,526,420,365
11 - 12,432,559,625,611,623,657,691,700,663,596,473,425
12 - 13,462,591,651,621,627,666,703,710,667,580,468,438
13 - 14,435,546,600,589,579,626,670,670,617,525,422,401
14 - 15,371,475,524,512,512,556,596,589,528,438,348,334
15 - 16,292,376,421,411,411,447,485,476,409,322,251,239
16 - 17,99,220,276,274,277,307,341,323,249,140,54,45
17 - 18,0,22,96,118,129,152,171,150,65,4,0,0
18 - 19,0,0,1,12,29,41,41,23,0,0,0,0
19 - 20,0,0,0,0,1,5,3,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
