Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,11,18,9,1,0,0,0,0
6 - 7,0,0,4,41,74,77,64,49,25,5,0,0
7 - 8,1,25,115,183,217,226,218,209,187,135,44,2
8 - 9,128,202,290,332,368,385,394,390,358,302,214,140
9 - 10,261,338,420,447,484,507,535,535,495,421,312,277
10 - 11,347,440,518,526,559,589,629,630,595,511,395,371
11 - 12,404,514,596,585,605,641,682,683,648,580,450,421
12 - 13,417,538,619,594,595,632,683,681,640,559,442,424
13 - 14,386,488,561,557,542,589,643,629,579,489,394,387
14 - 15,334,417,482,476,475,514,566,546,485,400,316,317
15 - 16,253,335,386,381,378,411,457,442,373,293,215,202
16 - 17,77,190,252,248,252,279,316,296,225,120,36,20
17 - 18,0,16,68,103,114,137,153,130,53,3,0,0
18 - 19,0,0,0,9,25,38,36,18,0,0,0,0
19 - 20,0,0,0,0,0,3,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
