Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,4,8,3,0,0,0,0,0
6 - 7,0,0,2,26,57,60,48,32,14,2,0,0
7 - 8,1,16,88,164,196,196,179,168,154,114,41,2
8 - 9,149,199,274,333,359,362,352,347,327,294,247,165
9 - 10,326,370,432,469,489,503,504,505,475,435,390,341
10 - 11,446,500,558,571,584,601,608,618,585,545,498,448
11 - 12,531,590,648,641,641,660,677,689,654,611,561,517
12 - 13,557,624,669,644,650,679,696,707,668,609,562,523
13 - 14,524,587,618,603,613,649,673,678,624,556,506,483
14 - 15,442,508,542,523,540,581,609,603,544,461,417,401
15 - 16,333,403,429,426,432,471,498,487,421,333,290,285
16 - 17,144,245,280,283,290,325,346,330,262,155,71,67
17 - 18,0,34,98,123,134,160,173,152,79,5,0,0
18 - 19,0,0,1,12,28,42,42,20,0,0,0,0
19 - 20,0,0,0,0,0,2,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
