Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,15,23,14,3,0,0,0,0
6 - 7,0,0,6,50,84,87,74,60,37,8,0,0
7 - 8,4,33,135,197,235,242,234,224,204,153,52,6
8 - 9,158,232,313,349,383,401,408,407,374,319,232,168
9 - 10,297,371,444,462,493,524,546,549,506,439,340,300
10 - 11,388,472,542,544,559,599,633,640,603,526,425,395
11 - 12,452,550,618,597,600,638,681,681,645,586,477,451
12 - 13,474,580,632,596,593,627,678,676,632,565,475,463
13 - 14,438,530,579,548,541,576,620,615,567,507,426,422
14 - 15,367,454,496,470,468,498,535,526,473,416,339,344
15 - 16,266,356,392,364,363,390,425,411,363,293,209,200
16 - 17,53,181,246,232,235,258,285,268,212,93,20,10
17 - 18,0,6,50,88,100,119,131,110,45,0,0,0
18 - 19,0,0,0,4,21,32,31,11,0,0,0,0
19 - 20,0,0,0,0,0,2,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
