Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,1,0,0,0,0,0,0
5 - 6,0,0,0,3,24,33,25,8,0,0,0,0
6 - 7,0,0,16,74,108,116,102,81,58,18,0,0
7 - 8,27,66,160,224,254,260,246,225,206,168,92,30
8 - 9,215,263,327,375,398,406,394,373,353,315,272,220
9 - 10,357,402,460,497,513,524,518,497,474,427,386,356
10 - 11,458,513,569,581,597,605,606,586,558,512,466,439
11 - 12,519,579,635,632,637,646,655,640,610,554,502,482
12 - 13,524,596,639,632,631,642,664,642,602,537,484,472
13 - 14,472,543,565,574,576,595,621,596,544,466,420,418
14 - 15,374,453,472,474,480,511,531,495,440,361,315,318
15 - 16,222,321,348,354,357,386,406,366,303,223,155,153
16 - 17,20,121,186,200,209,236,251,214,142,52,4,2
17 - 18,0,0,24,54,76,97,103,72,13,0,0,0
18 - 19,0,0,0,1,12,25,24,4,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
