Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,6,9,4,0,0,0,0,0
6 - 7,0,0,12,52,78,78,67,53,41,26,4,0
7 - 8,52,79,146,201,214,211,194,197,205,189,125,75
8 - 9,217,241,308,345,349,346,329,347,363,343,275,239
9 - 10,361,392,453,478,468,464,459,495,505,480,401,372
10 - 11,467,507,569,575,559,554,574,607,606,577,485,454
11 - 12,517,572,628,617,602,609,633,663,653,586,506,492
12 - 13,518,577,620,608,599,616,643,672,648,557,482,483
13 - 14,477,544,581,566,572,593,619,634,598,504,439,447
14 - 15,422,485,506,501,500,517,543,554,511,424,368,373
15 - 16,306,367,384,379,383,397,419,423,372,295,245,258
16 - 17,141,207,226,223,233,247,264,258,205,122,67,60
17 - 18,2,28,53,73,83,100,111,90,33,2,0,0
18 - 19,0,0,0,2,6,14,16,3,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
