Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,19,26,16,3,0,0,0,0
6 - 7,0,0,4,64,94,96,83,69,45,3,0,0
7 - 8,15,54,164,220,251,258,249,239,228,187,84,25
8 - 9,211,283,354,378,406,418,424,419,407,363,287,239
9 - 10,359,421,487,493,521,537,558,558,539,485,404,370
10 - 11,459,528,581,581,593,614,644,652,628,571,493,461
11 - 12,518,608,652,618,615,646,684,689,666,614,536,511
12 - 13,525,628,659,611,592,615,664,665,637,595,524,510
13 - 14,484,574,590,549,530,550,591,587,560,518,463,458
14 - 15,399,487,501,461,450,476,504,484,453,416,362,372
15 - 16,284,373,390,363,346,365,392,374,340,293,209,213
16 - 17,58,178,236,221,216,229,254,230,186,88,10,10
17 - 18,0,7,44,74,85,98,108,86,28,0,0,0
18 - 19,0,0,0,3,16,27,26,5,0,0,0,0
19 - 20,0,0,0,0,0,1,1,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
