Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,9,17,8,1,0,0,0,0
6 - 7,0,0,4,42,72,75,61,47,25,2,0,0
7 - 8,1,26,121,193,220,226,212,202,187,135,57,2
8 - 9,155,232,308,362,381,393,391,387,371,318,250,155
9 - 10,321,389,464,496,503,527,536,536,514,453,383,310
10 - 11,428,504,573,592,583,614,632,638,618,557,475,411
11 - 12,501,587,651,646,633,662,689,692,672,624,526,472
12 - 13,518,620,663,649,627,664,699,703,665,606,522,482
13 - 14,486,580,605,603,577,620,664,665,612,540,467,438
14 - 15,412,493,520,512,505,542,583,576,517,441,375,363
15 - 16,303,384,406,406,394,428,469,455,394,313,254,241
16 - 17,97,213,257,263,259,286,318,299,233,129,48,40
17 - 18,0,18,70,102,114,134,148,126,54,3,0,0
18 - 19,0,0,0,6,23,35,34,14,0,0,0,0
19 - 20,0,0,0,0,0,2,2,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
