Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,18,26,19,4,0,0,0,0
6 - 7,0,0,12,65,96,99,87,69,47,16,0,0
7 - 8,18,53,153,216,242,242,229,210,201,174,83,29
8 - 9,216,269,325,379,389,390,379,358,360,331,288,228
9 - 10,377,420,465,508,516,513,507,485,477,453,413,373
10 - 11,488,527,570,607,605,604,606,581,566,544,502,474
11 - 12,558,604,646,662,658,656,666,647,623,592,551,530
12 - 13,570,628,661,655,647,659,677,663,630,581,546,525
13 - 14,519,578,600,604,590,614,636,623,572,511,478,467
14 - 15,420,486,501,500,500,527,551,532,469,402,364,366
15 - 16,277,358,376,374,374,401,424,398,330,262,196,198
16 - 17,42,150,215,218,225,250,268,238,169,72,10,9
17 - 18,0,1,36,67,85,103,113,86,23,0,0,0
18 - 19,0,0,0,2,12,28,26,6,0,0,0,0
19 - 20,0,0,0,0,0,0,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
