Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,1,11,17,9,1,0,0,0,0
6 - 7,0,0,2,39,71,73,60,45,23,2,0,0
7 - 8,0,20,102,181,217,220,214,201,182,121,27,0
8 - 9,112,201,293,340,371,384,392,387,363,298,199,119
9 - 10,239,349,438,461,489,515,534,535,507,423,315,246
10 - 11,328,461,547,549,576,593,630,636,613,523,403,336
11 - 12,389,546,628,606,624,652,688,693,669,592,461,396
12 - 13,411,568,644,612,629,662,699,707,663,573,453,407
13 - 14,385,523,591,580,587,621,661,666,611,505,404,375
14 - 15,333,449,515,501,516,546,581,583,518,422,333,312
15 - 16,261,356,411,400,403,434,470,464,400,310,227,204
16 - 17,81,205,265,263,271,296,325,311,239,128,41,20
17 - 18,0,18,74,110,125,143,160,139,58,3,0,0
18 - 19,0,0,0,11,28,41,39,20,0,0,0,0
19 - 20,0,0,0,0,1,5,3,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
