Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,0,7,15,7,1,0,0,0,0
6 - 7,0,0,2,29,62,65,52,37,18,2,0,0
7 - 8,0,17,92,170,203,207,199,186,167,109,25,0
8 - 9,109,197,285,337,363,375,382,374,349,294,202,112
9 - 10,247,357,431,468,489,510,529,530,498,423,324,245
10 - 11,338,475,550,563,576,594,629,639,604,523,417,341
11 - 12,402,553,629,622,622,649,687,699,667,601,471,401
12 - 13,422,586,659,639,635,667,704,715,677,583,470,406
13 - 14,402,548,612,592,598,633,675,680,625,526,420,375
14 - 15,348,473,538,521,529,564,601,603,539,445,346,318
15 - 16,274,379,431,419,422,454,489,484,419,324,250,227
16 - 17,87,221,280,280,282,312,341,328,257,142,51,41
17 - 18,0,21,97,121,133,157,173,153,76,4,0,0
18 - 19,0,0,1,12,31,44,44,24,0,0,0,0
19 - 20,0,0,0,0,1,6,4,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
