Hour,1,2,3,4,5,6,7,8,9,10,11,12
0 - 1,0,0,0,0,0,0,0,0,0,0,0,0
1 - 2,0,0,0,0,0,0,0,0,0,0,0,0
2 - 3,0,0,0,0,0,0,0,0,0,0,0,0
3 - 4,0,0,0,0,0,0,0,0,0,0,0,0
4 - 5,0,0,0,0,0,0,0,0,0,0,0,0
5 - 6,0,0,0,2,20,28,20,4,0,0,0,0
6 - 7,0,0,8,64,96,102,89,70,47,10,0,0
7 - 8,4,45,149,217,248,255,246,224,205,153,66,10
8 - 9,160,254,337,378,398,410,409,393,370,316,252,166
9 - 10,309,403,482,508,516,535,544,537,506,435,366,295
10 - 11,408,518,592,599,598,610,631,631,605,533,456,378
11 - 12,475,597,661,645,643,653,679,681,657,594,507,428
12 - 13,489,623,667,643,638,655,680,683,649,581,495,432
13 - 14,451,569,599,588,589,602,635,628,588,509,433,385
14 - 15,366,467,511,492,491,506,547,533,481,404,337,299
15 - 16,234,346,382,370,372,379,420,404,345,268,183,160
16 - 17,25,147,221,221,222,239,269,244,182,74,8,4
17 - 18,0,1,38,71,86,101,116,88,26,0,0,0
18 - 19,0,0,0,2,16,28,27,6,0,0,0,0
19 - 20,0,0,0,0,0,1,0,0,0,0,0,0
20 - 21,0,0,0,0,0,0,0,0,0,0,0,0
21 - 22,0,0,0,0,0,0,0,0,0,0,0,0
22 - 23,0,0,0,0,0,0,0,0,0,0,0,0
23 - 24,0,0,0,0,0,0,0,0,0,0,0,0
